      NO              DATA              UNIT           TIME  
    220               33.1                 C           05-17-12/14:03:54  
    221               32.8                 C           05-17-12/14:03:55  
    222               33.5                 C           05-17-12/14:03:55  
    223               33.5                 C           05-17-12/14:03:56  
    224               34.0                 C           05-17-12/14:03:56  
    225               34.3                 C           05-17-12/14:03:57  
    226               34.3                 C           05-17-12/14:03:57  
    227               34.0                 C           05-17-12/14:03:57  
    228               34.0                 C           05-17-12/14:03:58  
    229               33.2                 C           05-17-12/14:03:58  
    230               33.2                 C           05-17-12/14:03:59  
    231               33.8                 C           05-17-12/14:03:59  
    232               33.8                 C           05-17-12/14:04:00  
    233               33.8                 C           05-17-12/14:04:00  
    234               33.8                 C           05-17-12/14:04:01  
    235               33.8                 C           05-17-12/14:04:01  
    236               33.8                 C           05-17-12/14:04:02  
    237               33.8                 C           05-17-12/14:04:02  
    238               33.8                 C           05-17-12/14:04:03  
    239               34.1                 C           05-17-12/14:04:03  
    240               34.1                 C           05-17-12/14:04:04  
    241               34.1                 C           05-17-12/14:04:04  
    242               34.1                 C           05-17-12/14:04:05  
    243               34.1                 C           05-17-12/14:04:05  
    244               34.1                 C           05-17-12/14:04:05  
    245               34.1                 C           05-17-12/14:04:06  
    246               34.1                 C           05-17-12/14:04:06  
    247               34.1                 C           05-17-12/14:04:07  
    248               34.1                 C           05-17-12/14:04:07  
    249               34.1                 C           05-17-12/14:04:08  
    250               34.1                 C           05-17-12/14:04:08  
    251               34.1                 C           05-17-12/14:04:09  
    252               33.8                 C           05-17-12/14:04:09  
    253               33.8                 C           05-17-12/14:04:10  
    254               33.8                 C           05-17-12/14:04:10  
    255               33.8                 C           05-17-12/14:04:11  
    256               33.8                 C           05-17-12/14:04:11  
    257               33.8                 C           05-17-12/14:04:12  
    258               33.8                 C           05-17-12/14:04:12  
    259               33.8                 C           05-17-12/14:04:13  
    260               33.8                 C           05-17-12/14:04:13  
    261               34.5                 C           05-17-12/14:04:14  
    262               34.7                 C           05-17-12/14:04:14  
    263               34.3                 C           05-17-12/14:04:15  
    264               34.3                 C           05-17-12/14:04:15  
    265               34.3                 C           05-17-12/14:04:16  
    266               34.3                 C           05-17-12/14:04:16  
    267               34.3                 C           05-17-12/14:04:17  
    268               34.3                 C           05-17-12/14:04:17  
    269               34.6                 C           05-17-12/14:04:18  
    270               34.2                 C           05-17-12/14:04:18  
    271               34.2                 C           05-17-12/14:04:19  
    272               34.2                 C           05-17-12/14:04:19  
    273               34.2                 C           05-17-12/14:04:20  
    274               34.2                 C           05-17-12/14:04:20  
    275               34.2                 C           05-17-12/14:04:21  
    276               34.2                 C           05-17-12/14:04:21  
    277               34.2                 C           05-17-12/14:04:21  
    278               34.2                 C           05-17-12/14:04:22  
    279               34.8                 C           05-17-12/14:04:22  
    280               34.8                 C           05-17-12/14:04:23  
    281               34.1                 C           05-17-12/14:04:23  
    282               34.1                 C           05-17-12/14:04:24  
    283               33.8                 C           05-17-12/14:04:24  
    284               33.5                 C           05-17-12/14:04:25  
    285               33.5                 C           05-17-12/14:04:25  
    286               31.8                 C           05-17-12/14:04:26  
    287               32.0                 C           05-17-12/14:04:26  
    288               31.5                 C           05-17-12/14:04:27  
    289               30.5                 C           05-17-12/14:04:27  
    290               30.5                 C           05-17-12/14:04:28  
    291               29.3                 C           05-17-12/14:04:28  
    292               29.3                 C           05-17-12/14:04:29  
    293               27.0                 C           05-17-12/14:04:29  
    294               27.0                 C           05-17-12/14:04:30  
    295               23.2                 C           05-17-12/14:04:30  
    296               23.0                 C           05-17-12/14:04:31  
    297               23.0                 C           05-17-12/14:04:31  
    298               22.5                 C           05-17-12/14:04:32  
    299               22.5                 C           05-17-12/14:04:32  
    300               22.5                 C           05-17-12/14:04:33  
    301               22.5                 C           05-17-12/14:04:33  
    302               22.5                 C           05-17-12/14:04:34  
    303               22.5                 C           05-17-12/14:04:34  
    304               22.5                 C           05-17-12/14:04:35  
    305               22.5                 C           05-17-12/14:04:35  
    306               22.5                 C           05-17-12/14:04:36  
    307               22.5                 C           05-17-12/14:04:36  
    308               22.5                 C           05-17-12/14:04:37  
    309               22.5                 C           05-17-12/14:04:37  
    310               22.5                 C           05-17-12/14:04:38  
    311               22.5                 C           05-17-12/14:04:38  
    312               22.5                 C           05-17-12/14:04:38  
    313               22.5                 C           05-17-12/14:04:39  
    314               22.5                 C           05-17-12/14:04:39  
    315               23.8                 C           05-17-12/14:04:40  
    316               24.0                 C           05-17-12/14:04:40  
    317               26.1                 C           05-17-12/14:04:41  
    318               27.0                 C           05-17-12/14:04:41  
    319               27.0                 C           05-17-12/14:04:42  
    320               27.7                 C           05-17-12/14:04:42  
    321               27.7                 C           05-17-12/14:04:43  
    322               28.3                 C           05-17-12/14:04:43  
    323               29.0                 C           05-17-12/14:04:44  
    324               29.0                 C           05-17-12/14:04:44  
    325               30.6                 C           05-17-12/14:04:45  
    326               30.6                 C           05-17-12/14:04:45  
    327               31.7                 C           05-17-12/14:04:46  
    328               33.5                 C           05-17-12/14:04:46  
    329               33.5                 C           05-17-12/14:04:46  
    330               33.8                 C           05-17-12/14:04:47  
    331               33.8                 C           05-17-12/14:04:47  
    332               33.8                 C           05-17-12/14:04:48  
    333               32.8                 C           05-17-12/14:04:48  
    334               32.8                 C           05-17-12/14:04:49  
    335               32.8                 C           05-17-12/14:04:49  
    336               32.8                 C           05-17-12/14:04:50  
    337               32.8                 C           05-17-12/14:04:50  
    338               32.8                 C           05-17-12/14:04:51  
